Hello, world!
num: 010000111110   result: 0100 0011 1110
num: 010001000001   result: 0100 0100 0001
num: 010001000100   result: 0100 0100 0100
num: 010001000111   result: 0100 0100 0111
num: 010001001010   result: 0100 0100 1010
num: 010001001101   result: 0100 0100 1101
num: 010001010000   result: 0100 0101 0000
num: 010001010011   result: 0100 0101 0011
num: 010001010110   result: 0100 0101 0110
num: 010001011001   result: 0100 0101 1001
num: 010001011100   result: 0100 0101 1100
num: 010001011111   result: 0100 0101 1111
num: 010001100010   result: 0100 0110 0010
num: 010001100101   result: 0100 0110 0101
num: 010001101000   result: 0100 0110 1000
num: 010001101011   result: 0100 0110 1011
num: 010001101110   result: 0100 0110 1110
num: 010001110001   result: 0100 0111 0001
num: 010001110100   result: 0100 0111 0100
num: 010001110111   result: 0100 0111 0111
num: 010001111010   result: 0100 0111 1010
num: 010001111101   result: 0100 0111 1101
num: 010010000000   result: 0100 1000 0000
num: 010010000011   result: 0100 1000 0011
num: 010010000110   result: 0100 1000 0110
num: 010010001001   result: 0100 1000 1001
num: 010010001100   result: 0100 1000 1100
num: 010010001111   result: 0100 1000 1111
num: 010010010010   result: 0100 1001 0010
num: 010010010101   result: 0100 1001 0101
num: 010010011000   result: 0100 1001 1000
num: 010010011011   result: 0100 1001 1011
num: 010010011110   result: 0100 1001 1110
num: 010010100001   result: 0100 1010 0001
num: 010010100100   result: 0100 1010 0100
num: 010010100111   result: 0100 1010 0111
num: 010010101010   result: 0100 1010 1010
num: 010010101101   result: 0100 1010 1101
num: 010010110000   result: 0100 1011 0000
num: 010010110011   result: 0100 1011 0011
num: 010010110110   result: 0100 1011 0110
num: 010010111001   result: 0100 1011 1001
num: 010010111100   result: 0100 1011 1100
num: 010010111111   result: 0100 1011 1111
num: 010011000010   result: 0100 1100 0010
num: 010011000101   result: 0100 1100 0101
num: 010011001000   result: 0100 1100 1000
num: 010011001011   result: 0100 1100 1011
num: 010011001110   result: 0100 1100 1110
num: 010011010001   result: 0100 1101 0001
num: 010011010100   result: 0100 1101 0100
num: 010011010111   result: 0100 1101 0111
num: 010011011010   result: 0100 1101 1010
num: 010011011101   result: 0100 1101 1101
num: 010011100000   result: 0100 1110 0000
num: 010011100011   result: 0100 1110 0011
num: 010011100110   result: 0100 1110 0110
num: 010011101001   result: 0100 1110 1001
num: 010011101100   result: 0100 1110 1100
num: 010011101111   result: 0100 1110 1111
num: 010011110010   result: 0100 1111 0010
num: 010011110101   result: 0100 1111 0101
num: 010011111000   result: 0100 1111 1000
num: 010011111011   result: 0100 1111 1011
num: 010011111110   result: 0100 1111 1110
num: 010100000001   result: 0101 0000 0001
num: 010100000100   result: 0101 0000 0100
num: 010100000111   result: 0101 0000 0111
num: 010100001010   result: 0101 0000 1010
num: 010100001101   result: 0101 0000 1101
num: 010100010000   result: 0101 0001 0000
num: 010100010011   result: 0101 0001 0011
num: 010100010110   result: 0101 0001 0110
num: 010100011001   result: 0101 0001 1001
num: 010100011100   result: 0101 0001 1100
num: 010100011111   result: 0101 0001 1111
num: 010100100010   result: 0101 0010 0010
num: 010100100101   result: 0101 0010 0101
num: 010100101000   result: 0101 0010 1000
num: 010100101011   result: 0101 0010 1011
num: 010100101110   result: 0101 0010 1110
num: 010100110001   result: 0101 0011 0001
num: 010100110100   result: 0101 0011 0100
num: 010100110111   result: 0101 0011 0111
num: 010100111010   result: 0101 0011 1010
num: 010100111101   result: 0101 0011 1101
num: 010101000000   result: 0101 0100 0000
num: 010101000011   result: 0101 0100 0011
num: 010101000110   result: 0101 0100 0110
num: 010101001001   result: 0101 0100 1001
num: 010101001100   result: 0101 0100 1100
num: 010101001111   result: 0101 0100 1111
num: 010101010010   result: 0101 0101 0010
num: 010101010101   result: 0101 0101 0101
num: 010101011000   result: 0101 0101 1000
num: 010101011011   result: 0101 0101 1011
num: 010101011110   result: 0101 0101 1110
num: 010101100001   result: 0101 0110 0001
num: 010101100100   result: 0101 0110 0100
num: 010101100111   result: 0101 0110 0111
num: 010101101010   result: 0101 0110 1010
num: 010101101101   result: 0101 0110 1101
num: 010101110000   result: 0101 0111 0000
num: 010101110011   result: 0101 0111 0011
num: 010101110110   result: 0101 0111 0110
num: 010101111001   result: 0101 0111 1001
num: 010101111100   result: 0101 0111 1100
num: 010101111111   result: 0101 0111 1111
num: 010110000010   result: 0101 1000 0010
num: 010110000101   result: 0101 1000 0101
num: 010110001000   result: 0101 1000 1000
num: 010110001011   result: 0101 1000 1011
num: 010110001110   result: 0101 1000 1110
num: 010110010001   result: 0101 1001 0001
num: 010110010100   result: 0101 1001 0100
num: 010110010111   result: 0101 1001 0111
num: 010110011010   result: 0101 1001 1010
num: 010110011101   result: 0101 1001 1101
num: 010110100000   result: 0101 1010 0000
num: 010110100011   result: 0101 1010 0011
num: 010110100110   result: 0101 1010 0110
num: 010110101001   result: 0101 1010 1001
num: 010110101100   result: 0101 1010 1100
num: 010110101111   result: 0101 1010 1111
num: 010110110010   result: 0101 1011 0010
num: 010110110101   result: 0101 1011 0101
num: 010110111000   result: 0101 1011 1000
num: 010110111011   result: 0101 1011 1011
num: 010110111110   result: 0101 1011 1110
num: 010111000001   result: 0101 1100 0001
num: 010111000100   result: 0101 1100 0100
num: 010111000111   result: 0101 1100 0111
num: 010111001010   result: 0101 1100 1010
num: 010111001101   result: 0101 1100 1101
num: 010111010000   result: 0101 1101 0000
num: 010111010011   result: 0101 1101 0011
num: 010111010110   result: 0101 1101 0110
num: 010111011001   result: 0101 1101 1001
num: 010111011100   result: 0101 1101 1100
